month;year;precipitation;atmospheric_demand
10;1915;77.5;54.00000215
11;1915;124.5999985;30
12;1915;74.40000153;20.99999964
1;1916;8.800000191;24.00000036
2;1916;112;39.00000215
3;1916;57.90000153;63.00000429
4;1916;73.59999847;83.99999857
5;1916;56.29999924;120
6;1916;28;135
7;1916;53.79999924;165
8;1916;26;141.0000086
9;1916;62;98.99999857
10;1916;46.10000229;60
11;1916;79.80000305;33.00000072
12;1916;95.40000153;20.99999964
1;1917;53.79999924;20.99999964
2;1917;104.9000015;39.00000215
3;1917;47.20000076;60
4;1917;72.20000458;81.00000143
5;1917;116.9000015;113.9999986
6;1917;79.80000305;150
7;1917;24.10000038;177.0000029
8;1917;48.5;147.0000029
9;1917;36.5;102.0000029
10;1917;47.20000076;60
11;1917;53.60000229;30
12;1917;136.6000061;18.00000072
1;1918;38.20000076;24.00000036
2;1918;4.400000095;41.99999928
3;1918;91;63.00000429
4;1918;87.70000458;78.00000429
5;1918;64.09999847;117.0000029
6;1918;47.10000229;150
7;1918;33.40000153;171.0000086
8;1918;38.20000076;147.0000029
9;1918;61.5;98.99999857
10;1918;98.70000458;54.00000215
11;1918;122.9000015;30
12;1918;23.39999962;20.99999964
1;1919;70.59999847;20.99999964
2;1919;93.90000153;39.00000215
3;1919;72.20000458;60
4;1919;57.90000153;83.99999857
5;1919;102.2000046;122.9999971
6;1919;90.09999847;152.9999971
7;1919;36.20000076;165
8;1919;11.10000038;150
9;1919;126.5999985;102.0000029
10;1919;129.4000092;54.00000215
11;1919;104.3000031;30
12;1919;27;20.99999964
1;1920;30.10000038;24.00000036
2;1920;32.79999924;45
3;1920;87.40000153;72.00000286
4;1920;33.79999924;93.00000429
5;1920;54.40000153;122.9999971
6;1920;118.5999985;152.9999971
7;1920;69.80000305;171.0000086
8;1920;44.5;147.0000029
9;1920;80;102.0000029
10;1920;119.5999985;56.99999928
11;1920;93;33.00000072
12;1920;59.70000076;24.00000036
1;1921;11.30000019;27.00000107
2;1921;76.90000153;41.99999928
3;1921;62.10000229;72.00000286
4;1921;47.70000076;90
5;1921;187.5;120
6;1921;43;152.9999971
7;1921;40.90000153;182.9999971
8;1921;62.40000153;147.0000029
9;1921;75.59999847;111.0000014
10;1921;51.29999924;66.00000143
11;1921;88.70000458;30
12;1921;30.80000114;20.99999964
1;1922;65.09999847;24.00000036
2;1922;34.10000229;41.99999928
3;1922;90.20000458;68.99999857
4;1922;76;83.99999857
5;1922;31.60000038;135
6;1922;153.3000031;150
7;1922;58.60000229;174.0000057
8;1922;58;147.0000029
9;1922;61.70000076;98.99999857
10;1922;59.20000076;60
11;1922;49.20000076;33.00000072
12;1922;22.5;24.00000036
1;1923;23.5;20.99999964
2;1923;43.20000076;45
3;1923;70.70000458;66.00000143
4;1923;86.30000305;90
5;1923;86.90000153;122.9999971
6;1923;15.80000019;141.0000086
7;1923;39.60000229;180
8;1923;42.10000229;156.0000086
9;1923;95.59999847;102.0000029
10;1923;17.70000076;63.00000429
11;1923;130.3000031;33.00000072
12;1923;63;20.99999964
1;1924;34.5;24.00000036
2;1924;32.60000229;39.00000215
3;1924;57.10000229;72.00000286
4;1924;39.20000076;96.00000143
5;1924;25.89999962;129.0000057
6;1924;43.70000076;156.0000086
7;1924;20.39999962;174.0000057
8;1924;52.20000076;141.0000086
9;1924;49.79999924;105
10;1924;41.29999924;63.00000429
11;1924;93.09999847;33.00000072
12;1924;52.20000076;24.00000036
1;1925;10.40000057;27.00000107
2;1925;47.40000153;45
3;1925;36.90000153;60
4;1925;53.70000076;87.00000286
5;1925;84.5;117.0000029
6;1925;24.89999962;165
7;1925;40;165
8;1925;41.10000229;150
9;1925;31.70000076;102.0000029
10;1925;80.20000458;66.00000143
11;1925;122;30
12;1925;39;24.00000036
1;1926;60.10000229;24.00000036
2;1926;51.5;51.00000143
3;1926;49.90000153;72.00000286
4;1926;101.5999985;98.99999857
5;1926;81.5;113.9999986
6;1926;26.89999962;144.0000057
7;1926;21.20000076;174.0000057
8;1926;134.6999969;156.0000086
9;1926;92.20000458;117.0000029
10;1926;111.0999985;68.99999857
11;1926;125;33.00000072
12;1926;43.79999924;20.99999964
1;1927;25.10000038;24.00000036
2;1927;46.70000076;45
3;1927;62.60000229;68.99999857
4;1927;20.70000076;96.00000143
5;1927;127.4000015;126.0000086
6;1927;88;152.9999971
7;1927;34.10000229;167.9999971
8;1927;39;147.0000029
9;1927;96.09999847;105
10;1927;75.20000458;68.99999857
11;1927;80.90000153;33.00000072
12;1927;135.8000031;24.00000036
1;1928;23.5;27.00000107
2;1928;76.59999847;48.00000072
3;1928;156.8000031;66.00000143
4;1928;96.30000305;93.00000429
5;1928;31.70000076;117.0000029
6;1928;16.30000114;156.0000086
7;1928;17.39999962;189.0000057
8;1928;14.80000019;156.0000086
9;1928;36.70000076;105
10;1928;47.90000153;63.00000429
11;1928;62;33.00000072
12;1928;40.90000153;20.99999964
1;1929;18;24.00000036
2;1929;41.20000076;39.00000215
3;1929;32.79999924;72.00000286
4;1929;34;96.00000143
5;1929;93.20000458;120
6;1929;169.4000092;147.0000029
7;1929;13.30000019;177.0000029
8;1929;61.5;150
9;1929;87.20000458;108.0000043
10;1929;61.5;60
11;1929;63;33.00000072
12;1929;38.20000076;24.00000036
1;1930;119.4000015;24.00000036
2;1930;87.30000305;36.00000143
3;1930;66.09999847;66.00000143
4;1930;63;83.99999857
5;1930;99;111.0000014
6;1930;101.2000046;141.0000086
7;1930;43.90000153;162.0000029
8;1930;38.40000153;150
9;1930;34.79999924;102.0000029
10;1930;68.30000305;63.00000429
11;1930;84.5;33.00000072
12;1930;83;20.99999964
1;1931;9.699999809;20.99999964
2;1931;25.60000038;39.00000215
3;1931;158.1999969;63.00000429
4;1931;47.79999924;90
5;1931;89.20000458;120
6;1931;27.20000076;159.0000057
7;1931;17;167.9999971
8;1931;18.80000114;141.0000086
9;1931;48.90000153;93.00000429
10;1931;87.40000153;60
11;1931;100.5;30
12;1931;15.30000019;24.00000036
1;1932;31;24.00000036
2;1932;80.40000153;39.00000215
3;1932;138.5;66.00000143
4;1932;70.80000305;87.00000286
5;1932;62.90000153;113.9999986
6;1932;145.6999969;141.0000086
7;1932;134.8000031;156.0000086
8;1932;83.70000458;150
9;1932;155.6999969;102.0000029
10;1932;30;60
11;1932;85.80000305;33.00000072
12;1932;189.3000031;24.00000036
1;1933;35.90000153;24.00000036
2;1933;29.5;41.99999928
3;1933;97.5;68.99999857
4;1933;51.20000076;98.99999857
5;1933;103.3000031;120
6;1933;129.9000092;135
7;1933;24.39999962;177.0000029
8;1933;41;162.0000029
9;1933;128.1000061;105
10;1933;77.80000305;60
11;1933;91.09999847;30
12;1933;135.1999969;18.00000072
1;1934;18.20000076;24.00000036
2;1934;10.10000038;41.99999928
3;1934;55.20000076;63.00000429
4;1934;153.9000092;90
5;1934;52.5;120
6;1934;55.10000229;156.0000086
7;1934;19.20000076;182.9999971
8;1934;58.40000153;144.0000057
9;1934;45.60000229;105
10;1934;23.10000038;63.00000429
11;1934;190.1000061;30
12;1934;53.10000229;20.99999964
1;1935;22.80000114;20.99999964
2;1935;24.60000038;45
3;1935;102.9000015;63.00000429
4;1935;14.30000019;93.00000429
5;1935;190;105
6;1935;28.89999962;152.9999971
7;1935;27.39999962;171.0000086
8;1935;93.40000153;147.0000029
9;1935;61;102.0000029
10;1935;22.70000076;56.99999928
11;1935;68.59999847;33.00000072
12;1935;65.40000153;20.99999964
1;1936;68.09999847;27.00000107
2;1936;93.80000305;39.00000215
3;1936;171.1000061;66.00000143
4;1936;74.80000305;81.00000143
5;1936;234.6000061;111.0000014
6;1936;94.20000458;141.0000086
7;1936;48.79999924;159.0000057
8;1936;54.5;144.0000057
9;1936;150.9000092;98.99999857
10;1936;75.80000305;56.99999928
11;1936;216.4000092;30
12;1936;17.70000076;24.00000036
1;1937;64.59999847;27.00000107
2;1937;15.90000057;41.99999928
3;1937;94;60
4;1937;43.10000229;90
5;1937;72.80000305;126.0000086
6;1937;80;147.0000029
7;1937;20.5;177.0000029
8;1937;44.70000076;152.9999971
9;1937;58.5;102.0000029
10;1937;121.7000046;56.99999928
11;1937;69.90000153;33.00000072
12;1937;19.20000076;20.99999964
1;1938;25.30000114;27.00000107
2;1938;18.10000038;41.99999928
3;1938;42.10000229;75
4;1938;62.90000153;87.00000286
5;1938;131.1000061;108.0000043
6;1938;56.20000076;152.9999971
7;1938;25.89999962;171.0000086
8;1938;99.20000458;141.0000086
9;1938;151.4000092;96.00000143
10;1938;102.5;60
11;1938;67.70000458;33.00000072
12;1938;90.30000305;18.00000072
1;1939;76.90000153;24.00000036
2;1939;57.60000229;45
3;1939;101.3000031;60
4;1939;77.59999847;87.00000286
5;1939;62.20000076;105
6;1939;123.4000015;144.0000057
7;1939;32.20000076;167.9999971
8;1939;112.7000046;144.0000057
9;1939;110.0999985;98.99999857
10;1939;51;54.00000215
11;1939;116.3000031;33.00000072
12;1939;89.5;20.99999964
1;1940;68.40000153;24.00000036
2;1940;51.79999924;41.99999928
3;1940;54.20000076;72.00000286
4;1940;71.20000458;90
5;1940;79.59999847;117.0000029
6;1940;142.6000061;141.0000086
7;1940;64.20000458;165
8;1940;85.70000458;147.0000029
9;1940;43.5;98.99999857
10;1940;132.6000061;56.99999928
11;1940;64.5;33.00000072
12;1940;4.900000095;20.99999964
1;1941;176.6000061;20.99999964
2;1941;55.70000076;41.99999928
3;1941;30.20000076;68.99999857
4;1941;79.5;87.00000286
5;1941;65.20000458;105
6;1941;62.70000076;137.9999971
7;1941;54.29999924;167.9999971
8;1941;126.8000031;137.9999971
